City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,rakvere,59.3464,26.3558,8.76,65,58,3.35,EE,1714148906
294,gaigeturi,33.4644,126.3183,16.03,88,75,1.54,KR,1714148640
295,ath thawrah,35.8469,38.5443,30.78,21,100,1.57,SY,1714148906
296,vilyuysk,63.7553,121.6247,-17.22,99,52,0.89,RU,1714148906
297,yerofey pavlovich,53.9667,121.9667,-4.77,72,24,1.4,RU,1714148906
298,choibalsan,48.0667,114.5,3.88,43,59,5.35,MN,1714148907
299,thulamahashi,-24.7246,31.1994,23.37,81,69,3.79,ZA,1714148907
300,metlili chaamba,32.2667,3.6333,25.52,21,74,7.72,DZ,1714148907
301,palasa,18.7667,84.4167,28.52,78,42,4.01,IN,1714148907
302,nova vicosa,-17.8919,-39.3719,28.29,67,4,3.95,BR,1714148907
303,santiago de cao,-7.9589,-79.2392,21.07,83,75,5.66,PE,1714148623
304,oranjestad,12.524,-70.027,29.97,70,75,9.77,AW,1714148908
305,carnarvon,-24.8667,113.6333,24.17,64,0,5.36,AU,1714148908
306,bathsheba,13.2167,-59.5167,30.34,66,75,6.17,BB,1714148908
307,fisterra,42.9049,-9.2629,12.64,71,98,5.76,ES,1714148908
308,howrah,22.5892,88.3103,31.0,84,20,5.66,IN,1714148630
309,dungarpur,23.8333,73.7167,32.18,20,19,5.56,IN,1714148909
310,dunedin,-45.8742,170.5036,8.78,57,99,1.34,NZ,1714148909
311,kota bharu,6.1333,102.2386,28.97,79,20,1.03,MY,1714148909
312,bestobe,52.4994,73.0975,7.99,37,7,3.33,KZ,1714148909
313,ciudad lazaro cardenas,17.9583,-102.2,28.45,58,15,1.75,MX,1714148644
314,acarau,-2.8856,-40.12,29.87,69,71,3.9,BR,1714148909
315,berdychiv,49.8993,28.6024,9.35,85,90,2.12,UA,1714148910
316,tazacorte,28.629,-17.9293,20.54,81,75,3.09,ES,1714148910
317,karatau,43.1667,70.4667,13.69,57,87,4.95,KZ,1714148835
